Mes,TIENDA,Segmento,Rango_edad,MABs
2026-01-01,Scalabrini,GOLD,30 - 34,21
2026-01-01,Scalabrini,GOLD,35 - 39,24
2026-01-01,Scalabrini,GOLD,40 - 44,25
2026-01-01,Scalabrini,GOLD,45 - 49,18
2026-01-01,Scalabrini,GOLD,50 - 54,20
2026-01-01,Scalabrini,GOLD,55 - 59,11
2026-01-01,Scalabrini,GOLD,60 - 64,8
2026-01-01,Scalabrini,GOLD,65 - 69,8
2026-01-01,Scalabrini,GOLD,70 y más,28
2026-01-01,Scalabrini,GOLD,Sin clasificación,1
2026-01-01,Scalabrini,MENOR_EDAD,13 - 17,1
2026-01-01,Scalabrini,PLATINUM,18 - 24,2
2026-01-01,Scalabrini,PLATINUM,25 - 29,14
2026-01-01,Scalabrini,PLATINUM,30 - 34,21
2026-01-01,Scalabrini,PLATINUM,35 - 39,32
2026-01-01,Scalabrini,PLATINUM,40 - 44,37
2026-01-01,Scalabrini,PLATINUM,45 - 49,29
2026-01-01,Scalabrini,PLATINUM,50 - 54,32
2026-01-01,Scalabrini,PLATINUM,55 - 59,37
2026-01-01,Scalabrini,PLATINUM,60 - 64,26
2026-01-01,Scalabrini,PLATINUM,65 - 69,24
2026-01-01,Scalabrini,PLATINUM,70 y más,22
